order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,sales_id,product_id,price_per_unit,quantity_x,total_price,product_ID,product_type,product_name,size,colour,price,quantity_y,description,differnce,year_order,month_order,day_order,name_day_order,year_delivery,month_delivery,day_delivery,name_day_delivery
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,0,218,106,2,212,218,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",25,2021,8,30,Monday,2021,9,24,Friday
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,481,118,1,118,481,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",25,2021,8,30,Monday,2021,9,24,Friday
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,2,2,96,3,288,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",25,2021,8,30,Monday,2021,9,24,Friday
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,3,1002,106,2,212,1002,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",25,2021,8,30,Monday,2021,9,24,Friday
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,4,691,113,3,339,691,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",25,2021,8,30,Monday,2021,9,24,Friday
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,5,981,106,3,318,981,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",25,2021,8,30,Monday,2021,9,24,Friday
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,6,915,96,1,96,915,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers",10,2021,2,3,Wednesday,2021,2,13,Saturday
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,7,686,113,1,113,686,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket",10,2021,2,3,Wednesday,2021,2,13,Saturday
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,8,1091,115,3,345,1091,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers",10,2021,2,3,Wednesday,2021,2,13,Saturday
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,9,1196,105,1,105,1196,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers",10,2021,2,3,Wednesday,2021,2,13,Saturday
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,10,157,91,3,273,157,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt",10,2021,2,3,Wednesday,2021,2,13,Saturday
